Species_name,Binary_Symb_AMvsEcM,C.selection,S.selection,R.selection,Cosine_CSR,CSR0.8,CSR0.81,CSR0.82,CSR0.825,CSR0.83,CSR0.84,CSR0.85,CSR0.86,CSR0.87,CSR0.875,CSR0.88,CSR0.89,CSR0.9,CSR0.91,CSR0.92,CSR0.925,CSR0.93,CSR0.94,CSR0.95,CSR0.96,CSR0.97,CSR0.975,CSR0.98,CSR0.99
Bupleurum_rotundifolium,AM,34.31480009,33.02541147,32.65978843,0.999773314,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Packera_multilobata,AM,33.54286296,34.54971749,31.90741955,0.999466918,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Dialium_guianense,AM,32.75709046,34.92445148,32.31845806,0.999416458,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Poa_trivialis_var._trivialis,AM,32.21974611,35.59036002,32.18989387,0.998855712,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Succisa_pratensis,AM,35.52373577,33.42028771,31.05597652,0.998504594,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Maranta_noctiflora,AM,35.66131786,33.1585709,31.18011125,0.998490462,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Geranium_sylvaticum,AM,35.51446301,31.02438074,33.46115625,0.998487698,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Campanula_collina_subsp._fondervisii,AM,30.82434248,35.85505538,33.32060215,0.998107245,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Festuca_altissima,AM,33.89975643,30.56842224,35.53182134,0.998085673,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Digitaria_milanjiana,AM,34.95077094,30.20488197,34.84434708,0.997804282,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Spiraea_japonica,AM,30.17625464,35.63835323,34.18539213,0.997607672,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Bromus_ramosus,AM,36.64282478,29.96297649,33.39419872,0.996669353,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Psychotria_acuminata,AM,37.41943628,30.04691292,32.5336508,0.995806088,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
Psychotria_pittieri,AM,29.02153177,36.86122127,34.11724695,0.995285725,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen,CSR_gen
